TS,X,Y,Z,Activity
1569902145353,-0.9642792,10.727814,-0.65122986,WALKING
1569902145370,-2.968216,11.627441,-1.3341675,WALKING
1569902145394,-2.008133,13.673294,0.14964294,WALKING
1569902145411,0.53152466,14.532211,3.904953,WALKING
1569902145434,0.91160583,11.513718,2.533661,WALKING
1569902145451,-1.9051971,14.004288,0.08320618,WALKING
1569902145472,-2.5336761,14.307159,0.6099243,WALKING
1569902145491,-0.8666992,12.348099,-1.1713715,WALKING
1569902145512,2.5713806,11.684906,-1.4263458,WALKING
1569902145531,1.9704285,13.906723,-0.5261383,WALKING
1569902145552,2.1793213,16.512802,0.21488953,WALKING
1569902145570,2.403778,16.05252,0.073028564,WALKING
1569902145591,1.9369049,14.949997,1.7190399,WALKING
1569902145611,1.236618,14.296982,1.0007782,WALKING
1569902145630,-1.0103607,12.445663,0.10534668,WALKING
1569902145649,-4.0210724,9.889252,-1.9716339,WALKING
1569902145672,-0.252594,6.5547333,-1.3766632,WALKING
1569902145690,1.4915924,3.9001617,-1.1192932,WALKING
1569902145713,2.4995422,2.8293457,0.23762512,WALKING
1569902145730,1.7549591,2.4384918,0.6506195,WALKING
1569902145750,1.4880066,1.8848419,0.6787567,WALKING
1569902145769,2.1021118,1.3485413,0.8774719,WALKING
1569902145789,1.9907837,0.99180603,1.3634949,WALKING
1569902145809,2.3822327,1.2036896,1.6771393,WALKING
1569902145828,2.6701355,2.3128052,3.8247375,WALKING
1569902145850,2.402588,4.6118317,5.777817,WALKING
1569902145868,2.2714996,12.41095,8.7621765,WALKING
1569902145889,0.40881348,25.226501,14.391556,WALKING
1569902145908,2.0721893,20.16397,12.5121,WALKING
1569902145928,1.2479858,6.969528,7.2999268,WALKING
1569902145948,2.5977173,-0.33998108,4.304779,WALKING
1569902145968,5.4480133,-2.929306,5.878372,WALKING
1569902145988,4.213196,3.2902374,5.6185913,WALKING
1569902146008,-1.2402039,22.90712,0.2412262,WALKING
